	A1-F	A2-F	A3-F	A4-F	A5-AD	A6-AD	A7-AD	A8-AD	E8-AD	L1-AD	L2-AD	L3-AD	L4-AD	L5-AD	L6-AD	S1-F	S2-F	S3-F	S4-F	S5-AD	S6-AD	S7-AD	S8-AD
A1-F	1.0	0.5276602947721901	0.5181297532488175	0.5166167759152971	0.4789658927228493	0.5004343879455563	0.4700284024434015	0.4761374479089115	0.454777787351074	0.46703667749511407	0.4784283476378912	0.48739514480096024	0.4877871672030627	0.48045920649368706	0.4624883987799146	0.6535334299353717	0.5064836189744452	0.5190147313987599	0.5082600010542303	0.48394151960651305	0.4855549279774051	0.4745569951954808	0.4773715487965132
A2-F	0.5276602947721901	1.0	0.5160112116177054	0.5306576826055864	0.496098193443198	0.5217695394355476	0.4936575879086359	0.5077496782009495	0.46770124814490904	0.48523641158240133	0.4972781229409599	0.5068555691638805	0.5085100428398295	0.5002766194682648	0.48150852982806647	0.5193652526610272	0.6254871822185607	0.5184078352052701	0.511964198548765	0.5031780714755899	0.5101685169226154	0.4947582851628206	0.4959888278509989
A3-F	0.5181297532488175	0.5160112116177054	1.0	0.5086102471824338	0.47836150233033947	0.48663503534825236	0.4676813398790326	0.4766569904963953	0.45570452205391104	0.46588367653964047	0.47820202434545983	0.48741877360004643	0.488619854874768	0.4807521754521063	0.46284168124756636	0.5127442025730328	0.49832313957590546	0.659124907530933	0.5046469307870579	0.48663647899588264	0.4841447715360613	0.4745801863933099	0.48085413246088576
A4-F	0.5166167759152971	0.5306576826055864	0.5086102471824338	1.0	0.48435743335725095	0.5017868012717984	0.4798384643495315	0.4828610091605218	0.4491877065538476	0.46846241723967635	0.4800874093053977	0.4884764881987583	0.48872210965008483	0.4824539947761291	0.4640253464886229	0.5034602111240596	0.493103930033889	0.5084617103441342	0.6254660835738951	0.48768834344529094	0.4907435720716955	0.480399490781699	0.4762455046729275
A5-AD	0.4789658927228493	0.496098193443198	0.47836150233033947	0.48435743335725095	1.0	0.5199490182574955	0.4992983185984986	0.5114947076689145	0.4794759805014731	0.501424958456703	0.5136924591677896	0.5219759124339759	0.5233920244465845	0.5165927565810654	0.4988448654436397	0.4771219158931651	0.47633949669153924	0.4861067614890003	0.4786455335864002	0.6424304285213969	0.5109297819741415	0.5050710183038886	0.5142282269362211
A6-AD	0.5004343879455563	0.5217695394355476	0.48663503534825236	0.5017868012717984	0.5199490182574955	1.0	0.5209415548938348	0.5197032917361433	0.483384696529956	0.5142801319812647	0.5278454905759711	0.5386771477407628	0.5377966746973467	0.5320795939941974	0.5116024264492312	0.49117023245651126	0.4870237391418475	0.4943336190102315	0.4915888624077933	0.5285743826642786	0.6681344249773261	0.5299909024822308	0.5167314571784601
A7-AD	0.4700284024434015	0.4936575879086359	0.4676813398790326	0.4798384643495315	0.4992983185984986	0.5209415548938348	1.0	0.49460051332536237	0.45708358793558496	0.5579270309987829	0.5738444126049431	0.5847018541584027	0.5803465284864516	0.5728128578298216	0.5512135350908772	0.47099461265182996	0.4658966981454772	0.47520840399847386	0.47066894736850484	0.5026249304601003	0.5173219837408295	0.660460328542079	0.4906506506744034
A8-AD	0.4761374479089115	0.5077496782009495	0.4766569904963953	0.4828610091605218	0.5114947076689145	0.5197032917361433	0.49460051332536237	1.0	0.5992232304840722	0.5609117928838436	0.5745339953466007	0.5862807051340371	0.5910831997787085	0.5856037573039103	0.5639251144767887	0.4692217813919671	0.46575240216472863	0.4801301756427226	0.46670319953919587	0.5159918190023699	0.5077967754673961	0.4945135988765185	0.648572826695827
E8-AD	0.454777787351074	0.46770124814490904	0.45570452205391104	0.4491877065538476	0.4794759805014731	0.483384696529956	0.45708358793558496	0.5992232304840722	1.0	0.5661683225839358	0.5795444346080684	0.5922314954863596	0.5975465804859437	0.5910516922945088	0.5660824279689533	0.47968557672655066	0.47556317538548454	0.49015525608723637	0.4796365721758363	0.5178053094757645	0.5025621779310465	0.48947887056588124	0.6551164838763107
L1-AD	0.46703667749511407	0.48523641158240133	0.46588367653964047	0.46846241723967635	0.501424958456703	0.5142801319812647	0.5579270309987829	0.5609117928838436	0.5661683225839358	1.0	0.6401678431731206	0.6515995445239603	0.6474398364812021	0.6378644064498535	0.6105211906914286	0.4954079094299515	0.49532804336212694	0.5049866677127419	0.4993900488643346	0.540722483153316	0.5341341069642532	0.6114520456532242	0.6105672572223829
