Comparison	Tau (genome-wide)	Tau (all genes in analysis)	Tau (genes with strong corr)
E8-AD vs. L1-AD	0.56617	0.63557	0.64969
E8-AD vs. L2-AD	0.57954	0.64747	0.65589
E8-AD vs. L3-AD	0.59223	0.65952	0.66978
E8-AD vs. L4-AD	0.59755	0.66602	0.67852
E8-AD vs. L5-AD	0.59105	0.65714	0.66626
E8-AD vs. L6-AD	0.56608	0.63531	0.64619
S7-AD vs. L1-AD	0.61145	0.67874	0.69212
S7-AD vs. L2-AD	0.63334	0.69852	0.71096
S7-AD vs. L3-AD	0.6469	0.71088	0.71932
S7-AD vs. L4-AD	0.63933	0.70613	0.72232
S7-AD vs. L5-AD	0.63081	0.69811	0.70764
S7-AD vs. L6-AD	0.60453	0.67691	0.68741
S8-AD vs. L1-AD	0.61057	0.68183	0.69724
S8-AD vs. L2-AD	0.62819	0.69667	0.70569
S8-AD vs. L3-AD	0.64234	0.70975	0.7188
S8-AD vs. L4-AD	0.64658	0.71411	0.72426
S8-AD vs. L5-AD	0.63865	0.70515	0.71366
S8-AD vs. L6-AD	0.61586	0.68811	0.69492
Mean	0.6134	0.68144	0.69226
Standard error	0.00631	0.00612	0.00607
Paired t-test, genome-wide vs. genes with strong corr	1.6933544414122014e-24
Paired t-test, all genes vs. genes with strong corr	2.727089730977586e-12
Methylated positions	1417049	328174	24023
# genes	N/A	8011	541
