gene	S1-F	S3-F	S4-F	S5-AD	S6-AD	S8-AD	pearson_r	p_val
Pdae1	23.3	15.62	29.68	19.4	18.21	21.74	-0.7621269727255914	0.0781455122670834
Pdae4	100.0	92.58	100.0	95.83	95.83	93.93	-0.6758012010589433	0.1406198569646374
Pdae12	13.33	8.62	12.73	9.09	12.5	7.89	-0.3862034799592623	0.4494965085883046
Pdae20	13.33	11.54	8.33	25.0	11.11	12.5	0.16551975781981962	0.7539877183121211
Pdae25	100.0	94.12	100.0	94.44	100.0	90.91	-0.3871470651322661	0.4482927550550254
Pdae30	38.8	18.33	41.18	65.15	42.08	47.62	0.06277596932037674	0.905959740490093
Pdae32	68.18	54.55	87.5	78.57	78.57	76.92	-0.25489275712393133	0.6259410960106064
Pdae33	42.48	27.52	27.53	42.08	29.67	33.82	0.04629022423307953	0.9306142586461985
Pdae46	30.0	45.45	66.67	60.87	61.11	31.03	-0.2781591757441618	0.5935221755585854
Pdae47	52.78	49.32	57.14	51.47	55.49	68.75	0.23583154164419814	0.6528107518923238
Pdae49	90.0	100.0	92.31	100.0	100.0	92.31	0.4543280173154422	0.3653977937424074
Pdae52	11.81	16.06	10.34	75.0	29.17	50.0	0.41196864284966783	0.4170063163009552
Pdae54	78.57	90.48	88.89	92.86	90.0	91.67	0.29406853242801717	0.5716121809327988
Pdae55	100.0	100.0	100.0	100.0	91.61	92.82	-0.7742941931950411	0.07066558882806555
Pdae60	56.32	27.7	36.04	39.64	31.01	33.56	-0.3265776549242609	0.5275487551641506
Pdae61	38.46	35.29	30.77	42.86	77.78	87.5	0.8101232051675314	0.05065696305837268
Pdae64	93.33	93.75	90.0	91.67	90.91	100.0	0.4453586189090389	0.3761292432692167
Pdae65	85.71	76.46	77.46	85.36	71.11	74.6	-0.44573058622967027	0.3756820511399571
Pdae70	13.64	10.42	20.0	23.08	24.32	40.0	0.43166527315602365	0.3927192447566723
Pdae72	100.0	95.0	100.0	100.0	100.0	100.0	-0.04533941097522715	0.9320374847935351
Pdae75	88.89	76.47	92.86	90.91	84.62	80.0	-0.6175616673758333	0.1914210783800107
Pdae77	77.78	84.62	87.5	90.0	92.86	81.82	0.1953714508666411	0.7106714882123757
Pdae78	48.81	52.12	45.58	74.83	64.58	63.95	0.6422780549678124	0.16905954238458656
Pdae83	96.43	97.22	96.43	95.83	96.88	100.0	0.46143788096736205	0.35696899003056487
Pdae88	55.04	45.06	59.63	51.0	60.16	71.75	0.2332028192924783	0.6565369702272231
Pdae90	91.67	55.0	75.0	50.0	41.67	23.53	-0.7287949440247354	0.10035441170919646
Pdae91	61.54	56.0	71.43	28.57	37.5	6.67	-0.7382859454503737	0.09377841606057381
Pdae93	43.33	43.75	34.78	44.44	34.48	44.0	0.1810844511827458	0.7313423457203181
Pdae94	1.52	11.44	25.66	5.41	7.42	32.08	-0.13986792165988507	0.791566238069205
Pdae97	100.0	94.12	100.0	100.0	91.67	100.0	-0.5582271300002581	0.24963598434275888
Pdae98	23.03	24.79	39.6	20.49	27.92	17.79	-0.6726715902740535	0.143180212515616
Pdae99	100.0	95.0	87.5	83.33	100.0	92.31	0.4333602987226819	0.39065233282514117
Pdae100	80.0	92.86	90.91	92.31	90.91	90.0	0.15362537202877194	0.7713747793350584
Pdae111	6.9	10.32	14.86	9.76	16.59	4.77	-0.1402021810725054	0.7910746811031146
Pdae113	85.71	82.61	72.22	80.0	90.91	81.25	0.805035254813905	0.05331145078113962
Pdae114	73.68	90.0	90.48	84.38	84.62	75.0	-0.35075076095367436	0.49544960701836105
Pdae119	19.76	77.5	41.67	41.28	12.5	33.33	-0.25954075084916106	0.6194303880687478
Pdae120	90.48	91.89	55.56	78.38	51.85	67.74	-0.060039192916861786	0.9100494224047356
Pdae121	61.9	46.39	33.33	65.94	43.8	47.72	0.22665943715441428	0.6658331019465521
Pdae127	23.26	20.0	20.0	15.38	14.29	28.57	-0.04911050348671842	0.9263934681464141
Pdae128	9.19	5.41	9.42	10.43	5.88	15.63	0.020091199379591557	0.9698672559001399
Pdae138	4.04	3.78	10.68	3.85	6.19	3.79	-0.6373492842189704	0.17342620982571116
Pdae140	30.17	23.19	7.7	3.65	10.0	6.46	-0.10231837969268169	0.8470580186195396
Pdae143	20.0	10.11	22.0	19.35	28.99	15.69	0.09704042920937782	0.8548962635214358
Pdae144	86.67	78.57	88.89	76.92	45.45	82.35	-0.7167162709745045	0.10900779365041392
Pdae145	66.67	41.18	28.57	75.0	66.67	79.17	0.7082737145617767	0.11524276861641024
Pdae148	68.75	60.87	51.85	68.97	65.79	59.26	0.5024811880199405	0.309713288335521
Pdae151	38.21	47.48	50.81	38.57	58.33	41.67	0.1628494184265365	0.7578852501997405
Pdae154	89.47	93.93	96.43	100.0	91.99	93.21	-0.29491426373479307	0.5704536033524634
Pdae157	100.0	89.44	100.0	96.43	97.06	33.44	-0.43532186112126703	0.38826506968624286
Pdae158	55.56	42.86	47.22	65.0	45.16	47.62	-0.14289655233507198	0.7871141041903423
Pdae160	93.75	95.65	93.33	91.67	100.0	94.12	0.6008977085469255	0.20713892544924611
Pdae163	79.06	71.43	86.76	91.67	100.0	91.32	0.41136338473339323	0.41776034480060503
Pdae165	71.43	75.0	64.29	89.47	86.67	61.54	0.39400487676777074	0.4395753124372818
Pdae168	50.0	30.43	52.17	53.57	50.0	39.29	-0.3049997052852866	0.5566867134483551
Pdae174	8.82	7.34	15.59	6.83	4.23	5.49	-0.9737389341780945	0.001025409979454575
Pdae180	7.02	9.43	5.01	9.17	2.94	5.75	-0.182295523657258	0.7295857057576975
Pdae184	17.34	12.4	13.29	17.08	16.6	16.54	0.452850117981675	0.367158541081865
Pdae185	92.86	88.89	88.89	90.0	100.0	90.0	0.5865725793078208	0.2210513794756797
Pdae190	3.12	15.0	11.11	13.95	10.81	13.64	0.23365978071148696	0.655888877969993
Pdae191	69.7	68.75	86.67	85.71	75.0	80.0	-0.3670304458391391	0.4741759143310323
Pdae194	100.0	90.69	100.0	92.31	91.29	92.26	-0.7912236501659191	0.06083132009392262
Pdae195	11.58	14.1	14.76	14.55	14.16	15.28	0.1330279337965077	0.8016351591423081
Pdae196	45.45	35.71	44.44	36.84	40.91	47.62	-0.11765562573038386	0.8243309057740832
Pdae197	100.0	93.48	93.54	96.15	100.0	91.17	0.1806733107156131	0.7319388793837575
Pdae198	26.32	19.05	42.86	30.0	30.77	13.33	-0.6501065002739662	0.16222025519703137
Pdae199	36.22	36.53	53.67	54.29	43.3	37.17	-0.47451347977505604	0.3416512297413308
Pdae201	97.37	91.15	100.0	95.83	100.0	95.45	-0.20108932325809084	0.7024317311422066
Pdae205	6.47	5.05	6.77	2.63	5.83	1.85	-0.48508132020121536	0.32944877982588144
Pdae206	6.52	12.5	13.04	11.76	11.11	5.48	-0.3562236374817651	0.48826609287010614
Pdae216	29.71	9.55	34.85	25.66	64.64	22.88	0.27962367505464747	0.5914962910584025
Pdae217	2.04	6.38	2.5	6.06	4.17	2.0	0.21083851090434969	0.6884284229112461
Pdae220	11.01	11.54	13.33	3.33	6.07	6.9	-0.670732330541176	0.1447766581440759
Pdae221	66.48	72.92	72.5	91.88	52.26	78.68	-0.2600862706643451	0.6186673447517921
Pdae222	33.33	37.88	27.78	44.0	17.24	41.18	-0.06836035050502501	0.8976192029019145
Pdae224	16.67	20.0	23.08	12.5	16.67	20.0	-0.42363461204446157	0.4025621468425898
Pdae225	55.87	41.8	74.17	53.59	57.14	51.32	-0.6425484476292701	0.16882133785698003
Pdae230	88.0	87.18	85.71	74.29	77.03	80.95	-0.5182190758234194	0.29225551451349896
Pdae232	87.5	42.11	75.73	73.57	85.0	55.69	-0.13968772601225865	0.7918312505893055
Pdae233	50.0	84.21	84.62	63.64	80.0	88.89	0.14961884362834107	0.7772464031902978
Pdae234	13.64	6.82	11.11	6.0	12.5	12.07	0.06800521688927255	0.8981494268532106
