	A1-F	A2-F	A3-F	A4-F	A5-AD	A6-AD	A7-AD	A8-AD	E8-AD	L1-AD	L2-AD	L3-AD	L4-AD	L5-AD	L6-AD	S1-F	S2-F	S3-F	S4-F	S5-AD	S6-AD	S7-AD	S8-AD
A1-F	0.0	1494615.0	1402858.0	1435239.0	1432298.0	1520229.0	1316484.0	1448327.0	1409443.0	1371018.0	1401029.0	1434527.0	1436449.0	1433343.0	1384007.0	562366.0	1399445.0	1571588.0	1430229.0	1481272.0	1467583.0	1343410.0	1548213.0
A2-F	1494615.0	0.0	1508037.0	1486560.0	1514331.0	1556618.0	1424877.0	1521902.0	1540720.0	1471715.0	1479416.0	1500538.0	1503480.0	1503090.0	1482362.0	1513447.0	685852.0	1563457.0	1494626.0	1537575.0	1528094.0	1426295.0	1582994.0
A3-F	1402858.0	1508037.0	0.0	1375389.0	1288256.0	1481923.0	1113854.0	1322243.0	1193249.0	1188746.0	1267801.0	1334993.0	1333835.0	1328815.0	1214733.0	1487462.0	1282731.0	908490.0	1371353.0	1397352.0	1381589.0	1201644.0	1521829.0
A4-F	1435239.0	1486560.0	1375389.0	0.0	1393811.0	1506808.0	1279871.0	1416510.0	1372430.0	1338253.0	1376504.0	1417648.0	1420002.0	1417162.0	1355480.0	1485193.0	1373646.0	1583345.0	583812.0	1455371.0	1444276.0	1316387.0	1539824.0
A5-AD	1432298.0	1514331.0	1288256.0	1393811.0	0.0	1312713.0	1042704.0	1191991.0	1131135.0	1103174.0	1154073.0	1202349.0	1202731.0	1199787.0	1120769.0	1506958.0	1322633.0	1626326.0	1395537.0	558962.0	1245759.0	1099346.0	1346535.0
A6-AD	1520229.0	1556618.0	1481923.0	1506808.0	1312713.0	0.0	1219021.0	1327334.0	1348856.0	1261349.0	1263532.0	1277332.0	1284118.0	1279104.0	1269998.0	1556609.0	1476820.0	1621181.0	1505884.0	1330245.0	480244.0	1206835.0	1368134.0
A7-AD	1316484.0	1424877.0	1113854.0	1279871.0	1042704.0	1219021.0	0.0	1079637.0	941929.0	708836.0	753673.0	800389.0	821695.0	818859.0	750759.0	1403128.0	1187225.0	1543096.0	1277871.0	1155878.0	1132917.0	322586.0	1269133.0
A8-AD	1448327.0	1521902.0	1322243.0	1416510.0	1191991.0	1327334.0	1079637.0	0.0	669546.0	845309.0	836778.0	836838.0	817822.0	819580.0	824602.0	1511475.0	1354932.0	1619469.0	1416200.0	1257961.0	1261898.0	1118983.0	583080.0
E8-AD	1409443.0	1540720.0	1193249.0	1372430.0	1131135.0	1348856.0	941929.0	669546.0	0.0	779631.0	832228.0	875148.0	853932.0	853542.0	778788.0	1498659.0	1260746.0	1656687.0	1346650.0	1240997.0	1235016.0	1036951.0	829218.0
L1-AD	1371018.0	1471715.0	1188746.0	1338253.0	1103174.0	1261349.0	708836.0	845309.0	779631.0	0.0	633733.0	657053.0	655261.0	653379.0	627645.0	1443802.0	1245215.0	1569276.0	1326337.0	1188510.0	1178467.0	736308.0	955257.0
